HR_UID,nameid,province,region,analysisTime,dates,compute_time,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointprevalence_pred7d_025,pointprevalence_pred7d_50,pointprevalence_pred7d_975,pointprevalence_pred14d_025,pointprevalence_pred14d_50,pointprevalence_pred14d_975
2405,CanadaQuebecEstrie,Quebec,Estrie,2020-12-10 18:44:44.174786,2020-12-10 00:00:00.000000,1:08:50.153721,0.99736078,1.40564107,2.46510889,5120,7216,12656,0.99743795,1.67797213,2.79260213,0.96131187,1.98104108,3.41556304
2411,CanadaQuebecGaspésie-Îles-de-la-Madeleine,Quebec,Gaspésie-Îles-de-la-Madeleine,2020-12-10 18:28:02.859557,2020-12-10 00:00:00.000000,0:52:10.209509,0.68413710,1.37981963,2.33346529,582,1174,1985,0.53022200,1.20099490,2.70096132,0.40254817,1.04717999,3.52656762
2414,CanadaQuebecLanaudière,Quebec,Lanaudière,2020-12-10 18:57:26.133238,2020-12-10 00:00:00.000000,1:21:30.795174,1.33034147,1.88902796,3.30893909,5916,8401,14715,1.17440291,1.88686449,3.51136402,1.02966289,1.83872641,3.67081884
2415,CanadaQuebecLaurentides,Quebec,Laurentides,2020-12-10 18:53:38.549977,2020-12-10 00:00:00.000000,1:17:44.553070,0.56062318,0.91481286,1.77342833,3226,5265,10206,0.58220597,0.97265286,2.07111778,0.58026145,1.03252672,2.25449872
2413,CanadaQuebecLaval,Quebec,Laval,2020-12-10 18:50:39.342978,2020-12-10 00:00:00.000000,1:14:47.686475,1.92365044,2.53881441,4.57886242,8431,11128,20070,2.21705399,3.54637788,6.51833154,2.42968655,4.69227456,8.50547209
2404,CanadaQuebecMauricie,Quebec,Mauricie,2020-12-10 18:41:58.008724,2020-12-10 00:00:00.000000,1:06:08.860791,0.76522679,1.10601873,2.45512695,3964,5729,12718,0.68847202,1.05982508,2.72349920,0.59858944,1.11374257,2.68664403
2416,CanadaQuebecMontérégie,Quebec,Montérégie,2020-12-10 18:55:43.983920,2020-12-10 00:00:00.000000,1:19:52.837055,0.94971433,1.37399911,2.33096246,13018,18834,31952,1.27761459,1.97334762,4.19540617,1.71860899,2.80931244,7.29560692
2410,CanadaQuebecNord-du-Québec,Quebec,Nord-du-Québec,2020-12-10 18:10:38.580656,2020-12-10 00:00:00.000000,0:35:15.891807,0.05850120,0.10902005,0.17649278,8,15,25,0.01935092,0.04768059,0.08805250,0.00601159,0.02027223,0.04562302
2417,CanadaQuebecNunavik,Quebec,Nunavik,2020-12-10 18:05:57.132346,2020-12-10 00:00:00.000000,0:30:44.581264,0.00003728,0.00046084,0.00669334,0,0,0,0.00001153,0.00020189,0.00388384,0.00000347,0.00008870,0.00225370
2407,CanadaQuebecOutaouais,Quebec,Outaouais,2020-12-10 19:00:05.341974,2020-12-10 00:00:00.000000,1:24:50.430225,0.40119221,0.79303921,1.38385747,1642,3246,5665,0.33822991,0.68464214,1.36261890,0.25938804,0.60752589,1.37614435
2402,CanadaQuebecSaguenay,Quebec,Saguenay,2020-12-10 18:37:55.274133,2020-12-10 00:00:00.000000,1:02:49.462672,1.33583571,2.98837003,5.43146272,3690,8256,15006,0.83008951,1.99359582,3.93739802,0.50082995,1.30422280,3.05911700
2418,CanadaQuebecTerres-Cries-de-la-Baie-James,Quebec,Terres-Cries-de-la-Baie-James,2020-12-10 18:06:34.847643,2020-12-10 00:00:00.000000,0:31:28.475401,0.00052722,0.00325551,0.01686134,0,0,2,0.00015177,0.00139304,0.00944666,0.00004761,0.00058401,0.00533872
6001,CanadaYukonYukon,Yukon,Yukon,2020-12-10 18:03:43.999859,2020-12-10 00:00:00.000000,0:28:38.002076,0.11883383,0.23066281,0.72005770,46,91,284,0.07539594,0.17671393,0.68648318,0.04508249,0.11939644,0.65494912
4750,CanadaSaskatchewanCentralEast,Saskatchewan,Central East,2020-12-10 17:53:34.374523,2020-12-10 00:00:00.000000,0:18:40.042481,0.66230980,1.54066706,2.89078595,645,1502,2818,0.63019878,1.63833501,3.70732280,0.57101846,1.57676093,4.58850257
4751,CanadaSaskatchewanCentralWest,Saskatchewan,Central West,2020-12-10 17:57:43.820779,2020-12-10 00:00:00.000000,0:22:48.498200,1.38959299,2.85449694,5.62779817,506,1040,2051,1.40358866,2.89279318,7.33360816,1.14054140,3.30965527,11.18360739
4752,CanadaSaskatchewanFarNorthCentral,Saskatchewan,Far North Central,2020-12-10 17:51:17.283939,2020-12-10 00:00:00.000000,0:16:30.511332,7.81987243,13.40784786,24.25256705,230,395,714,3.84798054,7.55185417,16.40338285,1.84427890,4.17676754,10.69432314
4753,CanadaSaskatchewanFarNorthEast,Saskatchewan,Far North East,2020-12-10 18:02:29.010967,2020-12-10 00:00:00.000000,0:27:41.628432,6.51496786,11.58170847,12.76078901,1531,2722,2999,6.59700161,13.82322913,14.82381089,7.14408580,15.51695750,16.23096042
4754,CanadaSaskatchewanFarNorthWest,Saskatchewan,Far North West,2020-12-10 17:55:15.533851,2020-12-10 00:00:00.000000,0:20:39.388410,7.75835297,12.62430752,17.11864699,2137,3477,4715,7.58228339,14.64729568,21.72154117,6.46318799,15.97072917,26.75307344
4755,CanadaSaskatchewanNorthCentral,Saskatchewan,North Central,2020-12-10 17:55:06.827928,2020-12-10 00:00:00.000000,0:20:30.627029,6.92700883,10.25549191,14.63429920,6089,9016,12865,6.81879662,12.37522611,20.62904394,6.57430190,14.24247323,28.26973128
4756,CanadaSaskatchewanNorthEast,Saskatchewan,North East,2020-12-10 17:51:15.855984,2020-12-10 00:00:00.000000,0:16:39.342741,1.37604265,2.55524577,5.22996934,561,1042,2133,0.96155513,2.16158626,5.30644676,0.60817118,1.80540692,6.34117989
4757,CanadaSaskatchewanNorthWest,Saskatchewan,North West,2020-12-10 17:57:06.212100,2020-12-10 00:00:00.000000,0:22:30.123918,1.74535848,3.39992416,7.94614244,1392,2712,6340,1.62649521,3.64185053,13.17483295,1.37246131,3.67125180,19.53103531
4758,CanadaSaskatchewanRegina,Saskatchewan,Regina,2020-12-10 17:59:30.720910,2020-12-10 00:00:00.000000,0:24:56.643517,3.75058537,7.37752331,12.27107216,10220,20104,33439,3.91448274,8.83058431,16.70610314,4.00477827,10.38048988,22.24639029
4759,CanadaSaskatchewanSaskatoon,Saskatchewan,Saskatoon,2020-12-10 17:55:20.667981,2020-12-10 00:00:00.000000,0:20:45.868921,2.54187472,6.17949878,12.98837873,8795,21382,44943,2.30708418,6.46817946,17.84321275,2.19019670,6.37308036,19.69954439
4760,CanadaSaskatchewanSouthCentral,Saskatchewan,South Central,2020-12-10 17:59:57.768047,2020-12-10 00:00:00.000000,0:25:21.949350,0.51494320,1.07237044,4.61363675,309,644,2771,0.25266054,0.92816659,6.36932681,0.14734350,0.77223431,8.29641251
4761,CanadaSaskatchewanSouthEast,Saskatchewan,South East,2020-12-10 17:52:15.602326,2020-12-10 00:00:00.000000,0:17:43.975924,0.85312201,1.59521841,3.56039730,773,1446,3227,0.59773576,1.33170982,3.55402764,0.40693385,1.13523847,3.53301414
4762,CanadaSaskatchewanSouthWest,Saskatchewan,South West,2020-12-10 17:53:40.765544,2020-12-10 00:00:00.000000,0:19:08.821450,1.35803892,2.24572763,3.39812229,514,851,1288,0.93336460,2.05354938,4.14631353,0.67454738,1.89617903,5.25423049
0,CanadaNovaScotia,Nova Scotia,,2020-12-10 18:19:21.379935,2020-12-10 00:00:00.000000,0:44:34.778279,0.10464121,0.15963352,0.26212756,1016,1550,2546,0.06693415,0.13221291,0.25270035,0.04276885,0.10188735,0.27322553
0,CanadaAlberta,Alberta,,2020-12-10 18:40:17.021805,2020-12-10 00:00:00.000000,1:05:33.065349,1.92130627,3.15301674,6.22731722,84790,139147,274820,1.66343069,3.43939293,6.67099497,1.42477837,3.77510936,8.30511300
0,CanadaBritishColumbia,British Columbia,,2020-12-10 19:28:41.384227,2020-12-10 00:00:00.000000,1:53:54.136246,1.67009783,2.56176046,3.22255982,85357,130929,164702,1.42520422,2.55398240,3.58179604,1.20949136,2.48323919,3.91490365
0,CanadaManitoba,Manitoba,,2020-12-10 18:46:10.689828,2020-12-10 00:00:00.000000,1:11:31.158548,0.95819813,1.83456114,2.88759387,13199,25271,39777,0.86280518,1.59087406,2.78154160,0.63881962,1.33484266,2.86650378
0,CanadaNewBrunswick,New Brunswick,,2020-12-10 18:13:49.554667,2020-12-10 00:00:00.000000,0:39:09.991740,0.01498220,0.03301114,0.05112688,116,257,398,0.00761532,0.02254878,0.04299384,0.00338045,0.01513839,0.04406011
0,CanadaNewfoundlandandLabrador,Newfoundland and Labrador,,2020-12-10 18:14:04.475831,2020-12-10 00:00:00.000000,0:39:28.254790,0.01594832,0.02623428,0.05410192,83,136,282,0.00955232,0.02450610,0.06869810,0.00574481,0.02253250,0.08730159
0,CanadaOntario,Ontario,,2020-12-10 19:03:07.714607,2020-12-10 00:00:00.000000,1:28:37.153431,0.70363259,1.04231043,1.76019274,103517,153342,258956,0.72540368,1.18047878,1.69711994,0.70699346,1.31846460,2.03488077
0,CanadaPrinceEdwardIsland,Prince Edward Island,,2020-12-10 18:14:48.409777,2020-12-10 00:00:00.000000,0:41:20.945553,0.02678403,0.03550172,0.07638866,42,56,120,0.00851182,0.01649157,0.05292486,0.00243244,0.00735842,0.04225268
0,CanadaQuebec,Quebec,,2020-12-10 19:03:23.700778,2020-12-10 00:00:00.000000,1:29:57.349041,0.87795187,1.23789122,1.68333117,74956,105687,143717,0.84708550,1.48535351,2.24701293,0.81136951,1.77557323,3.27907032
0,CanadaSaskatchewan,Saskatchewan,,2020-12-10 18:45:18.326937,2020-12-10 00:00:00.000000,1:11:55.043524,1.06558662,1.57888750,2.56334541,12591,18657,30290,0.87657452,1.62441345,3.34800114,0.72391633,1.61356445,4.49997370
0,CanadaNorthwestTerritories,Northwest Territories,,2020-12-10 18:03:25.966969,2020-12-10 00:00:00.000000,0:32:02.656783,0.00045858,0.00269399,0.01035366,0,1,4,0.00011596,0.00104537,0.00566023,0.00002932,0.00040391,0.00304536
0,CanadaYukon,Yukon,,2020-12-10 18:06:51.391062,2020-12-10 00:00:00.000000,0:35:27.364863,0.11626750,0.21759044,0.66777588,47,89,274,0.06697473,0.15456301,0.64118983,0.03499557,0.11899913,0.61670555
